message_index,timestamp_ns,symbol,bid_price,ask_price,bid_size,ask_size,spread,source_path,limitation
61907,1517068640018075109,B,69.93,71.79,33898,6512,1.8599999999999994,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61911,1517068640041100822,B,69.93,71.79,31041,6512,1.8599999999999994,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61912,1517068640042137211,B,71.78,71.79,31041,6512,0.010000000000005116,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61921,1517068640123833538,B,71.78,71.79,31041,1403,0.010000000000005116,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61923,1517068640133376227,B,71.79,71.8,31041,10362,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61940,1517068640239911617,B,71.79,71.8,31041,7622,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61943,1517068640256211717,B,71.79,71.8,31041,1382,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61945,1517068640264330789,B,71.79,71.8,31041,986,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61950,1517068640271645519,B,71.8,71.81,31041,4446,0.010000000000005116,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61959,1517068640285024846,B,71.8,71.81,31041,3204,0.010000000000005116,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61961,1517068640285152361,B,71.8,71.81,31041,3422,0.010000000000005116,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61966,1517068640285350451,B,71.81,71.82,22273,4587,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61969,1517068640285943713,B,71.81,71.82,21882,4587,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61972,1517068640286246790,B,71.81,71.82,20838,4587,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
61974,1517068640299937139,B,71.81,71.82,20838,7721,0.009999999999990905,data_contracts/fixtures/public_iex/20180127_IEXTP1_TOPS1.6.pcap.gz,aggregated TOPS best quote; not order-level queue data
